Year-Month,Average Weekly Hours (Total Private) (Hours),Civilian Employment (Household Survey) (Thousands),Total Private Employment (CES) (Thousands),Mining & Logging Employment (Thousands),Construction Employment (Thousands),Manufacturing Employment (Thousands),"Trade, Transportation & Utilities Employment (Thousands)",Professional & Business Services Employment (Thousands),Education & Health Services Employment (Thousands),Leisure & Hospitality Employment (Thousands),Labor Force Participation Rate (Percent),Employment-Population Ratio (Percent),Prime-Age (25-54) LFPR (Percent),Multiple Jobholders (Thousands),Part-Time for Economic Reasons (Thousands),Full-Time Employment (Thousands),Unemployment Rate - White (Percent),Unemployment Rate - Black (Percent),Unemployment Rate - Hispanic (Percent),Unemployment Rate - Men 20+ (Percent),Manufacturing Employment (All) (Thousands),Total Nonfarm Payrolls (Thousands),Temporary Help Services Employment (Thousands),U-6 Unemployment Rate (Broad) (Percent),Unemployed 15 Weeks & Over (Thousands),Unemployed 15-26 Weeks (Thousands),Unemployed 27 Weeks & Over (Thousands),Unemployed 5-14 Weeks (Thousands),Unemployed Less Than 5 Weeks (Thousands),Unemployment Level (Thousands),Unemployment Rate (Percent),Construction Employment (Thousands),Education & Health Services (Thousands),Financial Activities Employment (Thousands),Goods-Producing Employment (Thousands),Information Employment (Thousands),Leisure & Hospitality (Thousands),Mining Employment (Thousands),Professional & Business Services (Thousands),Other Services Employment (Thousands),"Trade, Transport, Utilities Employment (Thousands)",Retail Trade Employment (Thousands),Wholesale Trade Employment (Thousands)
YEAR,master-AWHAETP,master-CE16OV,master-CEU0500000001,master-CEU1000000001,master-CEU2000000001,master-CEU3000000001,master-CEU4000000001,master-CEU6000000001,master-CEU7000000001,master-CEU8000000001,master-CIVPART,master-EMRATIO,master-LNS11300060,master-LNS12032194,master-LNS12032195,master-LNS12600000,master-LNS14000003,master-LNS14000006,master-LNS14000009,master-LNS14000012,master-MANEMP,master-PAYEMS,master-TEMPHELPS,master-U6RATE,master-UEMP15OV,master-UEMP15T26,master-UEMP27OV,master-UEMP5TO14,master-UEMPLT5,master-UNEMPLOY,master-UNRATE,master-USCONS,master-USEHS,master-USFIRE,master-USGOOD,master-USINFO,master-USLAH,master-USMINE,master-USPBS,master-USSERV,master-USTPU,master-USTRADE,master-USWTRADE
1939-01,,,25338.0,885.0,981.0,8940.0,6470.0,1910.0,1807.0,535.0,,,,,,,,,,,9077.0,29923.0,,,,,,,,,,1139.0,1381.0,1371.0,11098.0,1112.0,1860.0,882.0,1943.0,543.0,6627.0,3107.8,1472.3
1939-02,,,25447.0,882.0,970.0,9065.0,6462.0,1915.0,1804.0,535.0,,,,,,,,,,,9175.0,30100.0,,,,,,,,,,1162.0,1384.0,1372.0,11221.0,1118.0,1867.0,884.0,1950.0,544.0,6643.0,3121.8,1473.3
1939-03,,,25833.0,883.0,1091.0,9176.0,6521.0,1936.0,1834.0,541.0,,,,,,,,,,,9275.0,30280.0,,,,,,,,,,1225.0,1387.0,1376.0,11383.0,1126.0,1877.0,883.0,1958.0,546.0,6625.0,3139.7,1463.4
1939-04,,,25801.0,614.0,1181.0,9183.0,6588.0,1947.0,1863.0,547.0,,,,,,,,,,,9309.0,30094.0,,,,,,,,,,1249.0,1389.0,1370.0,11182.0,1127.0,1887.0,624.0,1957.0,546.0,6634.0,3154.8,1473.5
1939-05,,,26113.0,719.0,1286.0,9138.0,6627.0,1975.0,1882.0,557.0,,,,,,,,,,,9299.0,30299.0,,,,,,,,,,1262.0,1399.0,1379.0,11298.0,1125.0,1888.0,737.0,1968.0,550.0,6686.0,3151.7,1480.6
1939-06,,,26485.0,852.0,1328.0,9182.0,6701.0,1999.0,1894.0,563.0,,,,,,,,,,,9315.0,30502.0,,,,,,,,,,1264.0,1406.0,1381.0,11447.0,1131.0,1895.0,868.0,1980.0,553.0,6706.0,3152.9,1484.5
1939-07,,,26481.0,847.0,1341.0,9221.0,6663.0,2000.0,1873.0,563.0,,,,,,,,,,,9231.0,30419.0,,,,,,,,,,1221.0,1411.0,1386.0,11304.0,1131.0,1897.0,852.0,1985.0,555.0,6731.0,3165.8,1491.2
1939-08,,,26848.0,864.0,1368.0,9497.0,6680.0,2015.0,1868.0,564.0,,,,,,,,,,,9400.0,30663.0,,,,,,,,,,1236.0,1412.0,1392.0,11495.0,1134.0,1899.0,859.0,1990.0,555.0,6740.0,3165.9,1493.0
1939-09,,,27468.0,894.0,1342.0,9831.0,6844.0,2043.0,1920.0,567.0,,,,,,,,,,,9604.0,31031.0,,,,,,,,,,1203.0,1424.0,1406.0,11692.0,1152.0,1918.0,885.0,2010.0,560.0,6793.0,3185.0,1518.9
1939-10,,,27830.0,941.0,1291.0,10098.0,6965.0,2037.0,1938.0,556.0,,,,,,,,,,,9873.0,31411.0,,,,,,,,,,1186.0,1415.0,1398.0,11984.0,1179.0,1910.0,925.0,2021.0,557.0,6858.0,3186.1,1540.5
1939-11,,,27740.0,952.0,1218.0,10061.0,6994.0,2024.0,1964.0,552.0,,,,,,,,,,,9896.0,31470.0,,,,,,,,,,1172.0,1421.0,1400.0,12007.0,1179.0,1913.0,939.0,2027.0,559.0,6855.0,3192.0,1531.7
1939-12,,,27886.0,938.0,1066.0,10011.0,7233.0,2022.0,2099.0,552.0,,,,,,,,,,,9949.0,31542.0,,,,,,,,,,1142.0,1428.0,1405.0,12021.0,1178.0,1930.0,930.0,2033.0,562.0,6851.0,3178.1,1534.9
1940-01,,,26847.0,927.0,961.0,9785.0,6761.0,2005.0,1882.0,555.0,,,,,,,,,,,9927.0,31603.0,,,,,,,,,,1121.0,1433.0,1409.0,11973.0,1183.0,1936.0,925.0,2039.0,564.0,6916.0,3233.5,1537.5
1940-02,,,26902.0,925.0,986.0,9803.0,6760.0,2010.0,1881.0,557.0,,,,,,,,,,,9916.0,31715.0,,,,,,,,,,1178.0,1440.0,1415.0,12023.0,1186.0,1945.0,929.0,2047.0,566.0,6943.0,3250.8,1539.0
1940-03,,,27205.0,925.0,1072.0,9775.0,6888.0,2028.0,1947.0,564.0,,,,,,,,,,,9884.0,31825.0,,,,,,,,,,1214.0,1447.0,1416.0,12024.0,1182.0,1993.0,926.0,2051.0,569.0,6992.0,3336.7,1546.7
1940-04,,,27255.0,909.0,1203.0,9692.0,6853.0,2045.0,1939.0,573.0,,,,,,,,,,,9817.0,31701.0,,,,,,,,,,1276.0,1455.0,1419.0,12013.0,1174.0,1965.0,920.0,2055.0,572.0,6896.0,3279.1,1541.2
1940-05,,,27535.0,912.0,1319.0,9661.0,6935.0,2069.0,1973.0,581.0,,,,,,,,,,,9810.0,31879.0,,,,,,,,,,1298.0,1460.0,1421.0,12038.0,1178.0,1979.0,930.0,2061.0,574.0,6996.0,3303.7,1547.2
1940-06,,,27765.0,904.0,1358.0,9715.0,7008.0,2085.0,1993.0,586.0,,,,,,,,,,,9832.0,31977.0,,,,,,,,,,1290.0,1465.0,1423.0,12040.0,1178.0,1995.0,918.0,2066.0,576.0,7016.0,3324.9,1553.3
1940-07,,,27789.0,917.0,1401.0,9769.0,6951.0,2087.0,1962.0,586.0,,,,,,,,,,,9766.0,31942.0,,,,,,,,,,1272.0,1469.0,1423.0,11958.0,1178.0,1988.0,920.0,2070.0,578.0,7017.0,3318.9,1556.0
1940-08,,,28332.0,930.0,1430.0,10157.0,6994.0,2114.0,1966.0,590.0,,,,,,,,,,,10048.0,32352.0,,,,,,,,,,1286.0,1478.0,1427.0,12257.0,1191.0,2000.0,923.0,2087.0,581.0,7049.0,3331.5,1558.4
1940-09,,,29007.0,938.0,1529.0,10477.0,7144.0,2137.0,2024.0,592.0,,,,,,,,,,,10258.0,32810.0,,,,,,,,,,1379.0,1487.0,1428.0,12565.0,1205.0,2023.0,928.0,2104.0,585.0,7101.0,3366.1,1577.4
1940-10,,,29399.0,947.0,1610.0,10677.0,7225.0,2139.0,2052.0,588.0,,,,,,,,,,,10471.0,33267.0,,,,,,,,,,1506.0,1496.0,1432.0,12909.0,1222.0,2023.0,932.0,2123.0,588.0,7121.0,3370.1,1573.7
1940-11,,,29619.0,947.0,1667.0,10781.0,7287.0,2133.0,2081.0,583.0,,,,,,,,,,,10643.0,33669.0,,,,,,,,,,1627.0,1501.0,1436.0,13206.0,1231.0,2025.0,936.0,2137.0,590.0,7147.0,3379.8,1585.8
1940-12,,,30221.0,945.0,1689.0,10897.0,7591.0,2143.0,2236.0,583.0,,,,,,,,,,,10847.0,34174.0,,,,,,,,,,1777.0,1507.0,1436.0,13563.0,1241.0,2056.0,939.0,2155.0,593.0,7208.0,3411.1,1597.7
1941-01,,,29402.0,946.0,1666.0,10847.0,7075.0,2136.0,1991.0,588.0,,,,,,,,,,,10993.0,34481.0,,,,,,,,,,1833.0,1516.0,1438.0,13771.0,1253.0,2045.0,945.0,2171.0,596.0,7223.0,3408.6,1606.0
1941-02,,,29671.0,945.0,1627.0,11098.0,7096.0,2150.0,1996.0,590.0,,,,,,,,,,,11211.0,34843.0,,,,,,,,,,1820.0,1526.0,1439.0,13982.0,1267.0,2061.0,951.0,2189.0,600.0,7275.0,3436.5,1616.1
1941-03,,,30079.0,959.0,1592.0,11301.0,7194.0,2182.0,2029.0,598.0,,,,,,,,,,,11409.0,35092.0,,,,,,,,,,1739.0,1536.0,1444.0,14109.0,1284.0,2074.0,961.0,2207.0,604.0,7299.0,3458.1,1624.1
1941-04,,,30610.0,670.0,1698.0,11587.0,7402.0,2223.0,2109.0,610.0,,,,,,,,,,,11698.0,35468.0,,,,,,,,,,1772.0,1551.0,1458.0,14151.0,1305.0,2138.0,681.0,2232.0,609.0,7439.0,3570.6,1646.8
1941-05,,,31379.0,963.0,1800.0,11827.0,7428.0,2268.0,2100.0,620.0,,,,,,,,,,,11957.0,36182.0,,,,,,,,,,1784.0,1558.0,1460.0,14720.0,1327.0,2110.0,979.0,2259.0,613.0,7493.0,3519.9,1658.9
1941-06,,,31999.0,980.0,1866.0,12123.0,7550.0,2299.0,2129.0,625.0,,,,,,,,,,,12204.0,36650.0,,,,,,,,,,1791.0,1563.0,1468.0,14985.0,1345.0,2133.0,990.0,2277.0,615.0,7563.0,3560.1,1676.5
1941-07,,,32545.0,1001.0,2020.0,12410.0,7578.0,2323.0,2121.0,628.0,,,,,,,,,,,12382.0,37137.0,,,,,,,,,,1881.0,1575.0,1475.0,15264.0,1363.0,2151.0,1001.0,2301.0,619.0,7639.0,3593.6,1690.3
1941-08,,,33014.0,1021.0,2079.0,12654.0,7657.0,2346.0,2134.0,631.0,,,,,,,,,,,12532.0,37544.0,,,,,,,,,,1918.0,1583.0,1478.0,15463.0,1376.0,2172.0,1013.0,2317.0,623.0,7711.0,3624.1,1700.8
1941-09,,,33417.0,1031.0,2100.0,12875.0,7745.0,2359.0,2175.0,632.0,,,,,,,,,,,12683.0,37835.0,,,,,,,,,,1939.0,1587.0,1482.0,15642.0,1386.0,2175.0,1020.0,2326.0,624.0,7722.0,3632.5,1701.7
1941-10,,,33457.0,1034.0,2033.0,12931.0,7809.0,2350.0,2194.0,626.0,,,,,,,,,,,12770.0,37949.0,,,,,,,,,,1935.0,1594.0,1482.0,15727.0,1396.0,2165.0,1022.0,2336.0,627.0,7715.0,3615.1,1698.4
1941-11,,,33367.0,1030.0,1943.0,12903.0,7852.0,2339.0,2226.0,623.0,,,,,,,,,,,12810.0,38024.0,,,,,,,,,,1915.0,1601.0,1481.0,15746.0,1399.0,2165.0,1021.0,2344.0,629.0,7710.0,3615.3,1693.9
1941-12,,,33552.0,1027.0,1797.0,12898.0,8078.0,2337.0,2355.0,621.0,,,,,,,,,,,12876.0,38104.0,,,,,,,,,,1903.0,1606.0,1481.0,15803.0,1401.0,2165.0,1024.0,2351.0,632.0,7694.0,3606.7,1686.9
1942-01,,,32660.0,1027.0,1738.0,12824.0,7556.0,2327.0,2110.0,625.0,,,,,,,,,,,12965.0,38347.0,,,,,,,,,,1914.0,1611.0,1485.0,15908.0,1408.0,2161.0,1029.0,2362.0,634.0,7689.0,3592.6,1684.4
1942-02,,,32739.0,1015.0,1712.0,13032.0,7500.0,2325.0,2090.0,622.0,,,,,,,,,,,13127.0,38512.0,,,,,,,,,,1900.0,1608.0,1480.0,16048.0,1415.0,2154.0,1021.0,2365.0,632.0,7664.0,3579.5,1675.3
1942-03,,,33240.0,1011.0,1897.0,13231.0,7531.0,2353.0,2106.0,629.0,,,,,,,,,,,13311.0,38935.0,,,,,,,,,,2042.0,1615.0,1478.0,16367.0,1426.0,2149.0,1014.0,2377.0,635.0,7631.0,3566.7,1666.2
1942-04,,,33764.0,1013.0,2104.0,13424.0,7556.0,2386.0,2114.0,638.0,,,,,,,,,,,13509.0,39352.0,,,,,,,,,,2170.0,1623.0,1468.0,16701.0,1440.0,2141.0,1022.0,2394.0,637.0,7591.0,3542.0,1650.7
1942-05,,,34203.0,1013.0,2287.0,13603.0,7559.0,2411.0,2124.0,645.0,,,,,,,,,,,13704.0,39771.0,,,,,,,,,,2271.0,1626.0,1460.0,17000.0,1450.0,2137.0,1025.0,2403.0,639.0,7625.0,3535.8,1637.9
1942-06,,,34624.0,1013.0,2469.0,13802.0,7541.0,2437.0,2115.0,651.0,,,,,,,,,,,13842.0,40029.0,,,,,,,,,,2380.0,1632.0,1453.0,17241.0,1457.0,2123.0,1019.0,2413.0,641.0,7559.0,3503.1,1616.3
1942-07,,,35065.0,1020.0,2631.0,14123.0,7491.0,2453.0,2086.0,652.0,,,,,,,,,,,14072.0,40472.0,,,,,,,,,,2494.0,1640.0,1446.0,17584.0,1471.0,2118.0,1018.0,2429.0,644.0,7549.0,3490.9,1608.4
1942-08,,,35460.0,1020.0,2643.0,14467.0,7502.0,2470.0,2082.0,654.0,,,,,,,,,,,14339.0,40988.0,,,,,,,,,,2478.0,1644.0,1441.0,17828.0,1486.0,2124.0,1011.0,2442.0,646.0,7563.0,3494.6,1602.6
1942-09,,,35771.0,1012.0,2596.0,14722.0,7563.0,2483.0,2115.0,654.0,,,,,,,,,,,14582.0,41259.0,,,,,,,,,,2433.0,1647.0,1440.0,18017.0,1500.0,2118.0,1002.0,2454.0,647.0,7570.0,3493.5,1597.0
1942-10,,,35852.0,1002.0,2435.0,14859.0,7675.0,2473.0,2157.0,647.0,,,,,,,,,,,14772.0,41515.0,,,,,,,,,,2352.0,1649.0,1439.0,18118.0,1514.0,2132.0,994.0,2463.0,647.0,7597.0,3508.8,1593.6
1942-11,,,35867.0,994.0,2275.0,15009.0,7724.0,2462.0,2188.0,640.0,,,,,,,,,,,14971.0,41674.0,,,,,,,,,,2260.0,1645.0,1434.0,18220.0,1527.0,2126.0,989.0,2470.0,646.0,7580.0,3498.8,1580.4
1942-12,,,36209.0,985.0,2019.0,15267.0,7954.0,2467.0,2305.0,636.0,,,,,,,,,,,15288.0,41915.0,,,,,,,,,,2136.0,1645.0,1432.0,18408.0,1547.0,2118.0,984.0,2482.0,646.0,7565.0,3479.8,1567.7
