Year-Month,Average Weekly Hours (Total Private) (Hours),Civilian Employment (Household Survey) (Thousands),Total Private Employment (CES) (Thousands),Mining & Logging Employment (Thousands),Construction Employment (Thousands),Manufacturing Employment (Thousands),"Trade, Transportation & Utilities Employment (Thousands)",Professional & Business Services Employment (Thousands),Education & Health Services Employment (Thousands),Leisure & Hospitality Employment (Thousands),Labor Force Participation Rate (Percent),Employment-Population Ratio (Percent),Prime-Age (25-54) LFPR (Percent),Multiple Jobholders (Thousands),Part-Time for Economic Reasons (Thousands),Full-Time Employment (Thousands),Unemployment Rate - White (Percent),Unemployment Rate - Black (Percent),Unemployment Rate - Hispanic (Percent),Unemployment Rate - Men 20+ (Percent),Manufacturing Employment (All) (Thousands),Total Nonfarm Payrolls (Thousands),Temporary Help Services Employment (Thousands),U-6 Unemployment Rate (Broad) (Percent),Unemployed 15 Weeks & Over (Thousands),Unemployed 15-26 Weeks (Thousands),Unemployed 27 Weeks & Over (Thousands),Unemployed 5-14 Weeks (Thousands),Unemployed Less Than 5 Weeks (Thousands),Unemployment Level (Thousands),Unemployment Rate (Percent),Construction Employment (Thousands),Education & Health Services (Thousands),Financial Activities Employment (Thousands),Goods-Producing Employment (Thousands),Information Employment (Thousands),Leisure & Hospitality (Thousands),Mining Employment (Thousands),Professional & Business Services (Thousands),Other Services Employment (Thousands),"Trade, Transport, Utilities Employment (Thousands)",Retail Trade Employment (Thousands),Wholesale Trade Employment (Thousands)
1943-01,,,35494.0,970.0,1896.0,15404.0,7459.0,2464.0,2072.0,640.0,,,,,,,,,,,15532.0,42172.0,,,,,,,,,,2064.0,1649.0,1427.0,18570.0,1562.0,2115.0,974.0,2498.0,648.0,7571.0,3473.4,1563.6
1943-02,,,35627.0,972.0,1842.0,15625.0,7427.0,2471.0,2055.0,640.0,,,,,,,,,,,15685.0,42393.0,,,,,,,,,,2022.0,1653.0,1427.0,18685.0,1570.0,2113.0,978.0,2509.0,649.0,7564.0,3466.2,1561.4
1943-03,,,35955.0,969.0,1825.0,15829.0,7483.0,2494.0,2075.0,645.0,,,,,,,,,,,15856.0,42552.0,,,,,,,,,,1954.0,1655.0,1426.0,18783.0,1582.0,2112.0,973.0,2515.0,650.0,7572.0,3465.7,1561.6
1943-04,,,36212.0,961.0,1802.0,15922.0,7576.0,2512.0,2115.0,649.0,,,,,,,,,,,15961.0,42647.0,,,,,,,,,,1854.0,1655.0,1432.0,18783.0,1590.0,2139.0,968.0,2519.0,650.0,7612.0,3505.9,1559.7
1943-05,,,36202.0,949.0,1755.0,15973.0,7535.0,2527.0,2100.0,656.0,,,,,,,,,,,16044.0,42596.0,,,,,,,,,,1737.0,1656.0,1435.0,18739.0,1594.0,2118.0,958.0,2521.0,651.0,7601.0,3474.8,1556.5
1943-06,,,36608.0,956.0,1730.0,16208.0,7614.0,2556.0,2116.0,662.0,,,,,,,,,,,16204.0,42781.0,,,,,,,,,,1639.0,1658.0,1446.0,18800.0,1606.0,2128.0,957.0,2528.0,651.0,7640.0,3495.3,1562.7
1943-07,,,36637.0,957.0,1641.0,16379.0,7595.0,2557.0,2091.0,659.0,,,,,,,,,,,16306.0,42700.0,,,,,,,,,,1516.0,1658.0,1435.0,18776.0,1614.0,2125.0,954.0,2531.0,651.0,7653.0,3490.1,1572.7
1943-08,,,36628.0,955.0,1584.0,16487.0,7559.0,2558.0,2075.0,658.0,,,,,,,,,,,16369.0,42546.0,,,,,,,,,,1433.0,1658.0,1428.0,18749.0,1618.0,2122.0,947.0,2532.0,651.0,7637.0,3481.6,1553.2
1943-09,,,36584.0,957.0,1511.0,16445.0,7600.0,2561.0,2108.0,660.0,,,,,,,,,,,16366.0,42492.0,,,,,,,,,,1357.0,1663.0,1430.0,18673.0,1619.0,2115.0,950.0,2537.0,653.0,7635.0,3478.9,1545.7
1943-10,,,36658.0,954.0,1402.0,16516.0,7707.0,2551.0,2155.0,654.0,,,,,,,,,,,16512.0,42675.0,,,,,,,,,,1334.0,1666.0,1427.0,18796.0,1631.0,2133.0,950.0,2546.0,654.0,7652.0,3492.7,1531.2
1943-11,,,36810.0,946.0,1331.0,16586.0,7832.0,2549.0,2205.0,651.0,,,,,,,,,,,16598.0,42821.0,,,,,,,,,,1320.0,1671.0,1429.0,18861.0,1640.0,2142.0,943.0,2558.0,656.0,7685.0,3508.5,1545.6
1943-12,,,36815.0,950.0,1205.0,16457.0,8013.0,2543.0,2298.0,649.0,,,,,,,,,,,16526.0,42746.0,,,,,,,,,,1316.0,1674.0,1431.0,18792.0,1640.0,2112.0,950.0,2557.0,657.0,7612.0,3448.8,1541.4
1944-01,,,36018.0,943.0,1172.0,16325.0,7625.0,2520.0,2103.0,646.0,,,,,,,,,,,16439.0,42654.0,,,,,,,,,,1323.0,1661.0,1426.0,18709.0,1641.0,2139.0,947.0,2552.0,654.0,7710.0,3507.3,1550.5
1944-02,,,35973.0,944.0,1126.0,16322.0,7635.0,2522.0,2087.0,645.0,,,,,,,,,,,16330.0,42538.0,,,,,,,,,,1300.0,1668.0,1425.0,18578.0,1645.0,2142.0,948.0,2556.0,654.0,7741.0,3507.2,1558.0
1944-03,,,35948.0,939.0,1119.0,16203.0,7684.0,2532.0,2107.0,651.0,,,,,,,,,,,16170.0,42294.0,,,,,,,,,,1237.0,1670.0,1423.0,18349.0,1643.0,2138.0,942.0,2549.0,655.0,7754.0,3508.4,1557.8
1944-04,,,35833.0,934.0,1133.0,16014.0,7724.0,2534.0,2118.0,653.0,,,,,,,,,,,16012.0,42063.0,,,,,,,,,,1172.0,1667.0,1419.0,18124.0,1640.0,2138.0,940.0,2540.0,653.0,7770.0,3498.1,1562.7
1944-05,,,35768.0,932.0,1167.0,15901.0,7718.0,2541.0,2115.0,657.0,,,,,,,,,,,15944.0,41985.0,,,,,,,,,,1149.0,1666.0,1416.0,18031.0,1639.0,2135.0,938.0,2536.0,653.0,7788.0,3505.4,1571.3
1944-06,,,35949.0,937.0,1206.0,15915.0,7756.0,2564.0,2119.0,665.0,,,,,,,,,,,15890.0,41947.0,,,,,,,,,,1123.0,1671.0,1423.0,17947.0,1637.0,2136.0,934.0,2535.0,655.0,7796.0,3508.5,1576.2
1944-07,,,35861.0,928.0,1211.0,15895.0,7746.0,2553.0,2109.0,661.0,,,,,,,,,,,15832.0,41904.0,,,,,,,,,,1103.0,1668.0,1409.0,17860.0,1633.0,2145.0,925.0,2529.0,653.0,7817.0,3528.4,1580.4
1944-08,,,35828.0,929.0,1215.0,15888.0,7739.0,2551.0,2097.0,660.0,,,,,,,,,,,15781.0,41850.0,,,,,,,,,,1081.0,1669.0,1403.0,17784.0,1631.0,2149.0,922.0,2527.0,653.0,7830.0,3533.3,1579.3
1944-09,,,35652.0,920.0,1183.0,15706.0,7784.0,2544.0,2129.0,660.0,,,,,,,,,,,15662.0,41679.0,,,,,,,,,,1036.0,1667.0,1407.0,17612.0,1626.0,2139.0,914.0,2523.0,653.0,7836.0,3529.8,1581.6
1944-10,,,35555.0,907.0,1150.0,15580.0,7886.0,2521.0,2173.0,652.0,,,,,,,,,,,15630.0,41708.0,,,,,,,,,,1085.0,1665.0,1406.0,17621.0,1622.0,2154.0,906.0,2519.0,652.0,7846.0,3540.8,1582.7
1944-11,,,35597.0,902.0,1114.0,15520.0,8005.0,2515.0,2221.0,649.0,,,,,,,,,,,15568.0,41711.0,,,,,,,,,,1095.0,1667.0,1406.0,17564.0,1625.0,2159.0,901.0,2524.0,653.0,7850.0,3544.6,1587.6
1944-12,,,35850.0,894.0,1025.0,15567.0,8219.0,2515.0,2320.0,645.0,,,,,,,,,,,15659.0,41860.0,,,,,,,,,,1113.0,1668.0,1405.0,17666.0,1634.0,2135.0,894.0,2525.0,653.0,7799.0,3496.1,1591.5
1945-01,,,35229.0,890.0,1006.0,15567.0,7829.0,2498.0,2139.0,644.0,,,,,,,,,,,15669.0,41895.0,,,,,,,,,,1143.0,1659.0,1407.0,17705.0,1631.0,2170.0,893.0,2527.0,652.0,7890.0,3572.8,1593.4
1945-02,,,35290.0,889.0,1015.0,15611.0,7835.0,2503.0,2127.0,644.0,,,,,,,,,,,15581.0,41897.0,,,,,,,,,,1191.0,1667.0,1405.0,17664.0,1634.0,2179.0,892.0,2533.0,653.0,7923.0,3582.3,1600.6
1945-03,,,35411.0,887.0,1058.0,15547.0,7912.0,2513.0,2161.0,648.0,,,,,,,,,,,15473.0,41798.0,,,,,,,,,,1179.0,1666.0,1404.0,17542.0,1636.0,2188.0,890.0,2528.0,652.0,7966.0,3612.9,1604.5
1945-04,,,35161.0,851.0,1109.0,15370.0,7847.0,2512.0,2129.0,651.0,,,,,,,,,,,15335.0,41446.0,,,,,,,,,,1148.0,1666.0,1403.0,17338.0,1628.0,2147.0,855.0,2519.0,652.0,7908.0,3522.1,1616.8
1945-05,,,35024.0,815.0,1149.0,15161.0,7878.0,2515.0,2145.0,656.0,,,,,,,,,,,15201.0,41304.0,,,,,,,,,,1138.0,1666.0,1407.0,17159.0,1620.0,2166.0,820.0,2512.0,652.0,7963.0,3575.6,1638.1
1945-06,,,35065.0,883.0,1204.0,14956.0,7907.0,2539.0,2151.0,667.0,,,,,,,,,,,14948.0,41149.0,,,,,,,,,,1133.0,1681.0,1416.0,16959.0,1609.0,2171.0,878.0,2512.0,658.0,7962.0,3581.8,1634.0
1945-07,,,34769.0,871.0,1245.0,14621.0,7920.0,2533.0,2145.0,669.0,,,,,,,,,,,14599.0,40874.0,,,,,,,,,,1144.0,1692.0,1428.0,16611.0,1596.0,2182.0,868.0,2512.0,662.0,8006.0,3600.9,1648.3
1945-08,,,34490.0,870.0,1290.0,14299.0,7924.0,2528.0,2140.0,673.0,,,,,,,,,,,14201.0,40466.0,,,,,,,,,,1159.0,1706.0,1437.0,16223.0,1576.0,2194.0,863.0,2506.0,667.0,8022.0,3613.9,1657.9
1945-09,,,32760.0,861.0,1290.0,12537.0,8039.0,2468.0,2205.0,676.0,,,,,,,,,,,12486.0,38507.0,,,,,,,,,,1143.0,1711.0,1449.0,14486.0,1498.0,2215.0,857.0,2447.0,668.0,8091.0,3665.2,1683.8
1945-10,,,32833.0,794.0,1309.0,12438.0,8194.0,2468.0,2262.0,677.0,,,,,,,,,,,12487.0,38600.0,,,,,,,,,,1231.0,1733.0,1463.0,14513.0,1499.0,2242.0,795.0,2466.0,677.0,8153.0,3696.2,1711.5
1945-11,,,33354.0,871.0,1325.0,12490.0,8427.0,2491.0,2337.0,681.0,,,,,,,,,,,12537.0,38996.0,,,,,,,,,,1291.0,1753.0,1483.0,14699.0,1517.0,2274.0,871.0,2498.0,684.0,8258.0,3742.5,1741.5
1945-12,,,33755.0,882.0,1274.0,12460.0,8721.0,2508.0,2457.0,685.0,,,,,,,,,,,12528.0,39110.0,,,,,,,,,,1336.0,1773.0,1505.0,14744.0,1529.0,2264.0,880.0,2514.0,692.0,8278.0,3722.3,1777.8
1946-01,,,33656.0,889.0,1280.0,12634.0,8470.0,2531.0,2320.0,695.0,,,,,,,,,,,12719.0,39829.0,,,,,,,,,,1421.0,1797.0,1540.0,15031.0,1543.0,2350.0,891.0,2560.0,705.0,8518.0,3880.6,1815.7
1946-02,,,33092.0,882.0,1312.0,11970.0,8526.0,2520.0,2335.0,700.0,,,,,,,,,,,11922.0,39244.0,,,,,,,,,,1501.0,1819.0,1560.0,14308.0,1512.0,2392.0,885.0,2550.0,710.0,8615.0,3946.1,1844.5
1946-03,,,34240.0,887.0,1437.0,12628.0,8668.0,2579.0,2383.0,713.0,,,,,,,,,,,12545.0,40195.0,,,,,,,,,,1581.0,1839.0,1582.0,15017.0,1553.0,2413.0,891.0,2596.0,718.0,8719.0,3995.1,1881.8
1946-04,,,34997.0,595.0,1583.0,13221.0,8780.0,2625.0,2440.0,725.0,,,,,,,,,,,13200.0,40913.0,,,,,,,,,,1639.0,1857.0,1599.0,15439.0,1582.0,2458.0,600.0,2635.0,726.0,8856.0,4066.2,1909.8
1946-05,,,35409.0,801.0,1679.0,13307.0,8733.0,2651.0,2438.0,735.0,,,,,,,,,,,13389.0,41349.0,,,,,,,,,,1679.0,1869.0,1615.0,15875.0,1575.0,2461.0,807.0,2650.0,731.0,8841.0,4080.3,1931.3
1946-06,,,36074.0,915.0,1766.0,13549.0,8811.0,2695.0,2454.0,746.0,,,,,,,,,,,13598.0,41735.0,,,,,,,,,,1697.0,1880.0,1625.0,16206.0,1583.0,2477.0,911.0,2670.0,735.0,8879.0,4110.7,1950.7
1946-07,,,36474.0,933.0,1868.0,13724.0,8870.0,2711.0,2454.0,747.0,,,,,,,,,,,13771.0,42153.0,,,,,,,,,,1761.0,1886.0,1630.0,16461.0,1600.0,2496.0,929.0,2691.0,738.0,8969.0,4145.3,1967.7
