Year-Month,Hires Rate Total Nonfarm (Percent),Job Openings Total Nonfarm (Thousands),Layoffs & Discharges Rate (Percent),Quits Rate Total Nonfarm (Percent),Total Separations Rate (Percent),Vacancy-to-Unemployment Ratio (V/U) (Ratio)
YEAR,master-JTSHIR,master-JTSJOL,master-JTSLDR,master-JTSQUR,master-JTSTSR,master-STAR_VU_RATIO
2000-12,4.1,5088.0,1.5,2.2,3.9,0.9031
2001-01,4.3,5234.0,1.7,2.4,4.4,0.8690
2001-02,4.0,5097.0,1.4,2.3,3.9,0.8371
2001-03,4.2,4762.0,1.6,2.3,4.2,0.7754
2001-04,3.9,4615.0,1.4,2.4,4.1,0.7359
2001-05,4.1,4425.0,1.5,2.3,4.1,0.7107
2001-06,3.9,4361.0,1.5,2.2,4.0,0.6726
2001-07,4.0,4447.0,1.5,2.2,4.1,0.6755
2001-08,4.0,4024.0,1.5,2.2,4.1,0.5714
2001-09,3.8,4071.0,1.6,2.1,3.9,0.5700
2001-10,3.9,3707.0,1.8,2.1,4.2,0.4818
2001-11,3.7,3775.0,1.7,2.0,3.9,0.4717
2001-12,3.7,3677.0,1.5,2.0,3.7,0.4453
2002-01,3.7,3699.0,1.5,2.2,3.9,0.4521
2002-02,3.7,3436.0,1.5,2.0,3.8,0.4183
2002-03,3.6,3612.0,1.4,1.9,3.6,0.4350
2002-04,3.8,3471.0,1.5,2.0,3.8,0.4037
2002-05,3.7,3457.0,1.5,1.9,3.7,0.4116
2002-06,3.7,3412.0,1.5,1.9,3.7,0.4065
2002-07,3.8,3367.0,1.6,2.0,3.9,0.4013
2002-08,3.7,3517.0,1.5,2.0,3.7,0.4235
2002-09,3.7,3301.0,1.5,1.9,3.8,0.4001
2002-10,3.7,3479.0,1.5,1.9,3.6,0.4188
2002-11,3.7,3514.0,1.5,1.8,3.6,0.4124
2002-12,3.7,3169.0,1.5,1.9,3.8,0.3668
2003-01,3.9,3441.0,1.6,1.9,3.8,0.4039
2003-02,3.6,3229.0,1.5,1.9,3.7,0.3747
2003-03,3.4,3099.0,1.5,1.8,3.6,0.3609
2003-04,3.5,3108.0,1.5,1.8,3.6,0.3515
2003-05,3.6,3289.0,1.6,1.8,3.6,0.3672
2003-06,3.6,3390.0,1.6,1.8,3.6,0.3659
2003-07,3.6,2981.0,1.6,1.7,3.6,0.3308
2003-08,3.6,3190.0,1.7,1.7,3.6,0.3586
2003-09,3.7,3091.0,1.5,1.8,3.6,0.3465
2003-10,3.8,3305.0,1.5,1.9,3.6,0.3785
2003-11,3.7,3324.0,1.5,1.8,3.6,0.3876
2003-12,3.8,3414.0,1.5,1.9,3.7,0.4105
2004-01,3.7,3424.0,1.6,1.8,3.6,0.4091
2004-02,3.7,3532.0,1.5,1.9,3.6,0.4325
2004-03,4.0,3525.0,1.6,2.0,3.8,0.4151
2004-04,3.9,3511.0,1.5,1.9,3.7,0.4297
2004-05,3.8,3710.0,1.5,1.8,3.6,0.4518
2004-06,3.8,3337.0,1.4,2.0,3.7,0.4027
2004-07,3.7,3814.0,1.4,2.0,3.7,0.4688
2004-08,3.8,3541.0,1.5,2.0,3.7,0.4432
2004-09,3.8,3821.0,1.5,1.9,3.7,0.4820
2004-10,3.9,3943.0,1.4,1.9,3.6,0.4891
2004-11,3.9,3472.0,1.5,2.1,3.9,0.4377
2004-12,3.9,4074.0,1.5,2.0,3.7,0.5135
2005-01,3.9,3804.0,1.5,2.1,3.8,0.4887
2005-02,4.0,3965.0,1.6,2.0,3.8,0.4969
2005-03,4.0,4044.0,1.6,2.1,3.9,0.5227
2005-04,4.0,4159.0,1.5,2.1,3.7,0.5421
2005-05,3.9,3797.0,1.5,2.1,3.8,0.4963
2005-06,4.0,4062.0,1.5,2.1,3.8,0.5399
2005-07,4.0,4256.0,1.4,2.0,3.7,0.5747
2005-08,4.0,4142.0,1.4,2.2,3.9,0.5639
2005-09,4.1,4352.0,1.5,2.3,4.0,0.5762
2005-10,3.8,4184.0,1.4,2.1,3.7,0.5614
2005-11,4.0,4248.0,1.3,2.1,3.7,0.5615
2005-12,3.9,4282.0,1.4,2.1,3.8,0.5883
2006-01,3.9,4397.0,1.3,2.2,3.7,0.6225
2006-02,4.0,4325.0,1.4,2.2,3.9,0.6020
2006-03,4.1,4732.0,1.4,2.2,3.9,0.6691
2006-04,3.8,4790.0,1.4,2.0,3.7,0.6728
2006-05,4.0,4463.0,1.5,2.2,4.0,0.6394
2006-06,4.0,4614.0,1.3,2.2,3.9,0.6590
2006-07,4.1,4394.0,1.4,2.2,3.9,0.6124
2006-08,3.9,4710.0,1.3,2.2,3.8,0.6642
2006-09,3.9,4737.0,1.3,2.1,3.7,0.6918
2006-10,3.9,4591.0,1.4,2.2,3.9,0.6825
2006-11,4.0,4645.0,1.4,2.2,3.9,0.6759
