Year-Month,Hires Rate Total Nonfarm (Percent),Job Openings Total Nonfarm (Thousands),Layoffs & Discharges Rate (Percent),Quits Rate Total Nonfarm (Percent),Total Separations Rate (Percent),Vacancy-to-Unemployment Ratio (V/U) (Ratio)
2006-12,3.8,4620.0,1.3,2.2,3.7,0.6832
2007-01,3.9,4763.0,1.4,2.1,3.8,0.6693
2007-02,3.8,4699.0,1.3,2.1,3.7,0.6784
2007-03,4.0,4962.0,1.4,2.2,3.8,0.7372
2007-04,3.9,4689.0,1.5,2.1,3.8,0.6845
2007-05,4.0,4657.0,1.4,2.2,3.8,0.6883
2007-06,3.8,4859.0,1.3,2.1,3.7,0.6962
2007-07,3.8,4598.0,1.4,2.1,3.8,0.6432
2007-08,3.9,4546.0,1.5,2.2,3.9,0.6433
2007-09,3.9,4652.0,1.6,1.9,3.8,0.6488
2007-10,3.9,4636.0,1.4,2.1,3.8,0.6406
2007-11,3.7,4646.0,1.4,2.0,3.7,0.6417
2007-12,3.7,4545.0,1.4,2.0,3.6,0.5945
2008-01,3.7,4624.0,1.4,2.1,3.7,0.6017
2008-02,3.7,4279.0,1.4,2.1,3.8,0.5708
2008-03,3.6,4225.0,1.4,1.9,3.6,0.5401
2008-04,3.6,4035.0,1.4,2.1,3.7,0.5283
2008-05,3.4,4194.0,1.4,1.9,3.5,0.4996
2008-06,3.6,3830.0,1.6,1.9,3.7,0.4466
2008-07,3.4,3749.0,1.5,1.8,3.5,0.4195
2008-08,3.4,3674.0,1.6,1.8,3.6,0.3893
2008-09,3.3,3222.0,1.5,1.8,3.6,0.3394
2008-10,3.3,3377.0,1.7,1.7,3.6,0.3352
2008-11,3.0,3231.0,1.7,1.6,3.6,0.3066
2008-12,3.2,3146.0,1.8,1.5,3.6,0.2788
2009-01,3.1,2738.0,1.9,1.5,3.6,0.2271
2009-02,3.0,2864.0,1.9,1.5,3.6,0.2220
2009-03,2.9,2534.0,1.9,1.4,3.6,0.1887
2009-04,2.9,2295.0,2.0,1.3,3.6,0.1657
2009-05,2.9,2549.0,1.7,1.3,3.2,0.1758
2009-06,2.8,2503.0,1.7,1.3,3.2,0.1702
2009-07,3.0,2232.0,1.7,1.3,3.2,0.1529
2009-08,2.9,2338.0,1.6,1.2,3.1,0.1578
2009-09,3.0,2487.0,1.7,1.2,3.2,0.1657
2009-10,3.0,2406.0,1.6,1.3,3.1,0.1567
2009-11,3.1,2503.0,1.5,1.4,3.1,0.1645
2009-12,3.1,2568.0,1.6,1.4,3.2,0.1701
2010-01,3.0,2837.0,1.4,1.3,3.0,0.1886
2010-02,3.0,2666.0,1.4,1.4,3.1,0.1764
2010-03,3.3,2679.0,1.5,1.4,3.1,0.1762
2010-04,3.2,3153.0,1.3,1.5,3.0,0.2057
2010-05,3.4,2988.0,1.3,1.4,3.0,0.2012
2010-06,3.1,2801.0,1.6,1.5,3.3,0.1935
2010-07,3.2,3082.0,1.7,1.4,3.3,0.2124
2010-08,3.1,2999.0,1.4,1.4,3.1,0.2047
2010-09,3.1,2918.0,1.4,1.5,3.1,0.2002
2010-10,3.2,3235.0,1.3,1.4,3.0,0.2229
2010-11,3.2,3211.0,1.4,1.4,3.1,0.2129
2010-12,3.3,3058.0,1.4,1.5,3.2,0.2131
2011-01,3.1,3104.0,1.4,1.4,3.1,0.2215
2011-02,3.2,3226.0,1.3,1.5,3.1,0.2334
2011-03,3.4,3261.0,1.4,1.5,3.2,0.2374
2011-04,3.3,3259.0,1.4,1.4,3.0,0.2335
2011-05,3.2,3179.0,1.4,1.5,3.2,0.2294
2011-06,3.3,3455.0,1.5,1.5,3.2,0.2475
2011-07,3.2,3623.0,1.4,1.5,3.1,0.2632
2011-08,3.3,3329.0,1.4,1.5,3.2,0.2409
2011-09,3.3,3774.0,1.4,1.5,3.2,0.2706
2011-10,3.3,3619.0,1.4,1.5,3.1,0.2662
2011-11,3.3,3565.0,1.4,1.5,3.2,0.2680
2011-12,3.3,3768.0,1.4,1.5,3.1,0.2878
2012-01,3.3,3909.0,1.3,1.5,3.1,0.3055
2012-02,3.4,3616.0,1.4,1.6,3.3,0.2822
2012-03,3.4,3979.0,1.3,1.6,3.2,0.3130
2012-04,3.3,3793.0,1.4,1.6,3.2,0.2999
2012-05,3.4,3835.0,1.5,1.6,3.3,0.3029
2012-06,3.3,3911.0,1.4,1.6,3.3,0.3081
2012-07,3.2,3735.0,1.3,1.5,3.1,0.2951
2012-08,3.3,3809.0,1.4,1.5,3.2,0.3054
2012-09,3.2,3882.0,1.3,1.4,3.0,0.3204
2012-10,3.3,3775.0,1.4,1.5,3.2,0.3114
2012-11,3.3,3878.0,1.4,1.5,3.2,0.3230
2012-12,3.3,3970.0,1.3,1.5,3.0,0.3228
2013-01,3.3,3923.0,1.2,1.7,3.2,0.3146
2013-02,3.4,4004.0,1.2,1.7,3.2,0.3351
2013-03,3.2,4076.0,1.3,1.6,3.1,0.3487
2013-04,3.4,3988.0,1.3,1.7,3.3,0.3391
2013-05,3.4,4145.0,1.3,1.6,3.3,0.3557
2013-06,3.3,4150.0,1.3,1.6,3.2,0.3532
2013-07,3.3,3885.0,1.3,1.7,3.2,0.3427
2013-08,3.5,4085.0,1.3,1.7,3.3,0.3622
2013-09,3.5,4128.0,1.4,1.7,3.3,0.3663
2013-10,3.3,4222.0,1.2,1.7,3.2,0.3791
2013-11,3.4,4119.0,1.2,1.7,3.2,0.3818
2013-12,3.4,4121.0,1.3,1.7,3.2,0.3961
2014-01,3.4,4127.0,1.3,1.7,3.2,0.4045
2014-02,3.4,4373.0,1.3,1.8,3.3,0.4226
2014-03,3.5,4388.0,1.2,1.8,3.3,0.4227
2014-04,3.5,4566.0,1.3,1.8,3.3,0.4706
2014-05,3.5,4747.0,1.2,1.8,3.3,0.4815
2014-06,3.5,4982.0,1.3,1.8,3.3,0.5266
2014-07,3.6,4846.0,1.3,1.9,3.4,0.5044
2014-08,3.5,5349.0,1.2,1.8,3.3,0.5572
2014-09,3.7,4914.0,1.2,2.0,3.5,0.5306
2014-10,3.7,5012.0,1.3,1.9,3.5,0.5575
2014-11,3.6,4843.0,1.2,1.9,3.3,0.5328
2014-12,3.7,5130.0,1.3,1.8,3.4,0.5885
2015-01,3.6,5344.0,1.3,2.0,3.5,0.6015
2015-02,3.6,5466.0,1.2,1.9,3.5,0.6357
2015-03,3.6,5210.0,1.4,2.0,3.6,0.6119
2015-04,3.7,5598.0,1.3,1.9,3.5,0.6547
2015-05,3.6,5563.0,1.2,1.9,3.4,0.6297
2015-06,3.6,5248.0,1.3,1.9,3.5,0.6364
2015-07,3.6,6056.0,1.2,1.9,3.4,0.7415
2015-08,3.6,5467.0,1.2,2.0,3.5,0.6841
2015-09,3.7,5488.0,1.4,2.0,3.6,0.6941
2015-10,3.7,5773.0,1.3,2.0,3.5,0.7287
2015-11,3.8,5708.0,1.2,2.0,3.6,0.7135
2015-12,3.9,5845.0,1.3,2.1,3.7,0.7392
2016-01,3.6,6012.0,1.3,2.0,3.6,0.7883
2016-02,3.8,5770.0,1.3,2.1,3.7,0.7492
2016-03,3.7,6129.0,1.3,2.0,3.6,0.7699
2016-04,3.7,5803.0,1.2,2.1,3.6,0.7194
2016-05,3.6,5777.0,1.3,2.1,3.6,0.7550
2016-06,3.7,5742.0,1.2,2.1,3.6,0.7415
2016-07,3.8,5962.0,1.2,2.1,3.5,0.7803
2016-08,3.7,5677.0,1.3,2.1,3.6,0.7293
2016-09,3.7,5868.0,1.1,2.1,3.4,0.7378
2016-10,3.6,5591.0,1.1,2.1,3.5,0.7158
2016-11,3.7,5971.0,1.2,2.1,3.5,0.7905
2016-12,3.7,5964.0,1.2,2.1,3.5,0.7930
2017-01,3.8,5617.0,1.2,2.2,3.7,0.7521
2017-02,3.7,5923.0,1.2,2.1,3.5,0.8027
2017-03,3.7,5811.0,1.2,2.2,3.6,0.8216
2017-04,3.6,6091.0,1.2,2.1,3.5,0.8592
2017-05,3.7,5826.0,1.2,2.1,3.6,0.8323
2017-06,3.8,6305.0,1.3,2.2,3.7,0.9174
2017-07,3.7,6238.0,1.3,2.1,3.6,0.9051
2017-08,3.8,6276.0,1.3,2.1,3.6,0.8862
2017-09,3.7,6320.0,1.2,2.2,3.6,0.9221
2017-10,3.8,6408.0,1.2,2.2,3.7,0.9564
2017-11,3.7,6271.0,1.2,2.2,3.6,0.9257
2017-12,3.7,6336.0,1.2,2.2,3.6,0.9554
2018-01,3.7,6621.0,1.3,2.0,3.6,1.0203
2018-02,3.8,6552.0,1.2,2.2,3.6,0.9956
2018-03,3.8,6818.0,1.2,2.2,3.7,1.0535
2018-04,3.8,6877.0,1.2,2.3,3.7,1.0647
2018-05,3.9,7016.0,1.2,2.3,3.7,1.1323
2018-06,3.9,7230.0,1.2,2.3,3.7,1.1215
2018-07,3.8,7190.0,1.2,2.3,3.7,1.1606
2018-08,3.9,7208.0,1.2,2.3,3.7,1.1709
2018-09,3.8,7411.0,1.2,2.3,3.7,1.2203
2018-10,4.0,7304.0,1.2,2.3,3.7,1.1760
2018-11,3.9,7594.0,1.3,2.3,3.9,1.2419
2018-12,3.9,7489.0,1.2,2.3,3.7,1.1722
2019-01,3.9,7502.0,1.1,2.3,3.7,1.1586
2019-02,3.8,7066.0,1.2,2.4,3.8,1.1516
2019-03,3.8,7317.0,1.1,2.3,3.7,1.1798
2019-04,4.0,7272.0,1.3,2.3,3.8,1.2199
2019-05,3.8,7275.0,1.2,2.3,3.7,1.2268
2019-06,3.8,7194.0,1.2,2.3,3.7,1.2121
2019-07,3.9,7042.0,1.2,2.4,3.9,1.1619
2019-08,3.9,7178.0,1.2,2.3,3.7,1.2074
2019-09,3.9,7124.0,1.3,2.3,3.8,1.2383
2019-10,3.8,7289.0,1.2,2.3,3.7,1.2415
2019-11,3.9,6888.0,1.2,2.3,3.7,1.1738
2019-12,3.9,6699.0,1.3,2.3,3.8,1.1445
2020-01,3.9,7124.0,1.2,2.3,3.8,1.2138
2020-02,3.9,6966.0,1.3,2.3,3.8,1.2108
2020-03,3.4,5894.0,8.6,1.9,10.8,0.8179
2020-04,3.1,4606.0,7.0,1.5,8.8,0.1995
2020-05,6.1,5612.0,1.6,1.7,3.5,0.2681
2020-06,5.4,6129.0,1.6,1.9,3.8,0.3472
2020-07,4.5,6530.0,1.3,2.2,3.7,0.3993
2020-08,4.3,6429.0,1.1,2.1,3.4,0.4776
2020-09,4.2,6511.0,1.1,2.2,3.6,0.5186
2020-10,4.3,6798.0,1.2,2.3,3.8,0.6140
2020-11,4.1,6820.0,1.5,2.2,3.9,0.6377
2020-12,3.9,6773.0,1.3,2.4,3.9,0.6289
2021-01,3.9,7162.0,1.1,2.3,3.6,0.6981
2021-02,4.1,7827.0,1.1,2.4,3.7,0.7817
2021-03,4.3,8499.0,1.0,2.5,3.8,0.8697
2021-04,4.2,9346.0,1.0,2.7,3.9,0.9582
2021-05,4.1,9954.0,0.9,2.6,3.8,1.0749
2021-06,4.5,10319.0,0.9,2.8,3.9,1.0884
2021-07,4.6,10983.0,1.0,2.8,4.0,1.2579
2021-08,4.3,10872.0,0.9,2.8,4.0,1.3148
2021-09,4.5,10834.0,1.0,2.9,4.1,1.4237
2021-10,4.5,11238.0,0.9,2.8,3.9,1.5464
2021-11,4.6,11199.0,0.9,3.0,4.1,1.6643
2021-12,4.5,11520.0,0.9,2.9,4.1,1.7964
2022-01,4.3,11210.0,0.9,2.9,4.2,1.7159
2022-02,4.5,11698.0,0.9,2.8,4.0,1.8501
2022-03,4.4,12301.0,0.9,2.9,4.1,2.0390
2022-04,4.3,11861.0,0.9,3.0,4.0,1.9785
2022-05,4.2,11535.0,1.0,2.8,4.0,1.9293
2022-06,4.3,11283.0,1.0,2.7,4.0,1.8884
2022-07,4.2,11576.0,1.0,2.6,3.8,2.0062
2022-08,4.2,10092.0,1.0,2.8,4.1,1.7079
2022-09,4.0,10800.0,0.9,2.7,3.8,1.8792
2022-10,4.0,10447.0,1.0,2.6,3.8,1.7561
2022-11,4.0,10632.0,1.0,2.6,3.8,1.7966
2022-12,4.0,10902.0,1.0,2.7,3.9,1.8858
2023-01,4.1,10318.0,1.1,2.5,3.8,1.7882
2023-02,3.9,9857.0,1.0,2.5,3.7,1.6464
2023-03,3.8,9655.0,1.2,2.4,3.9,1.6479
2023-04,3.8,9966.0,1.1,2.3,3.6,1.7341
2023-05,3.9,9368.0,1.0,2.6,3.8,1.5398
2023-06,3.8,9180.0,1.1,2.4,3.6,1.5338
2023-07,3.6,8657.0,1.1,2.3,3.6,1.4616
2023-08,3.7,9254.0,1.1,2.3,3.6,1.4747
2023-09,3.7,9259.0,1.0,2.3,3.5,1.4758
2023-10,3.7,8580.0,1.0,2.3,3.5,1.3276
2023-11,3.5,8602.0,1.0,2.3,3.5,1.3816
2023-12,3.6,8520.0,1.1,2.2,3.5,1.3462
2024-01,3.6,8378.0,1.0,2.1,3.4,1.3568
2024-02,3.6,8440.0,1.1,2.2,3.5,1.3013
2024-03,3.5,8206.0,1.0,2.1,3.3,1.2584
2024-04,3.5,7529.0,1.0,2.2,3.4,1.1608
2024-05,3.5,7782.0,1.1,2.1,3.4,1.1743
2024-06,3.3,7416.0,0.9,2.1,3.2,1.0778
2024-07,3.4,7426.0,1.1,2.1,3.4,1.0462
2024-08,3.3,7520.0,1.1,2.1,3.3,1.0647
2024-09,3.4,6943.0,1.1,2.0,3.3,1.0137
2024-10,3.3,7379.0,1.0,2.0,3.3,1.0616
2024-11,3.3,7566.0,1.2,1.9,3.3,1.0673
2024-12,3.3,7295.0,1.1,1.9,3.2,1.0542
2025-01,3.3,7431.0,1.1,2.0,3.3,1.0824
2025-02,3.3,7242.0,1.2,2.0,3.3,1.0194
2025-03,3.4,6952.0,1.0,2.2,3.3,0.9748
2025-04,3.4,7098.0,1.1,2.0,3.3,0.9920
2025-05,3.4,7310.0,1.1,2.1,3.3,1.0086
2025-06,3.4,7204.0,1.2,2.1,3.4,1.0213
2025-07,3.3,7089.0,1.1,2.0,3.3,0.9748
2025-08,3.2,6919.0,1.2,2.0,3.3,0.9375
2025-09,3.3,7169.0,1.1,1.9,3.3,0.9427
2025-10,3.3,7170.0,1.2,1.9,3.2,
2025-11,3.2,6846.0,1.0,2.0,3.2,0.8798
2025-12,3.3,6550.0,1.1,2.0,3.3,0.8730
2026-01,3.4,7240.0,1.0,2.0,3.2,0.9826
2026-02,3.1,6922.0,1.1,1.9,3.2,0.9143
2026-03,3.5,6887.0,1.2,2.0,3.4,0.9514
2026-04,3.2,7618.0,1.1,1.9,3.1,1.0332
